,accx,accy,accz
56,-1.4165162,9.80665,5.7477865;
57,-1.2666923,14.709975,6.2108784;
58,-3.6774938,3.173541,3.7864566;
59,1.8387469,2.7649305,-1.7570249;
60,-1.2666923,19.313654,6.3198414;
61,2.4108016,-7.6546354,-6.1291566;
62,-0.61291564,16.358038,4.944186;
63,0.040861044,17.502148,2.5333846;
64,-7.6546354,7.8180795,4.372132;
65,-1.2666923,0.7218784,0.8036005;
66,-5.012288,19.57244,5.5162406;
67,1.9477097,2.7921712,2.070293;
68,-5.053149,1.6480621,7.6273947;
69,9.384419,13.443283,1.0351465;
70,-5.434519,13.211738,6.4424243;
71,-0.61291564,1.879608,1.4165162;
72,4.7126403,-6.5513873,-6.0201936;
73,-1.7570249,9.302697,-6.428804;
74,-0.9125633,10.501288,-0.27240697;
75,2.6014864,19.381754,4.440233;
76,5.7886477,3.214402,1.1441092;
77,-1.9885708,12.4489975,-2.7240696;
78,1.4165162,16.780268,8.471856;
79,0.42223078,-8.267551,-7.3549876;
80,-3.568531,10.95076,-0.8036005;
81,-4.671779,11.727119,0.38136974;
82,-2.1383946,1.6889231,3.5276701;
83,-1.334794,2.4925237,-0.3405087;
84,-2.9147544,19.57244,7.5865335;
85,3.5276701,-3.9499009,-1.920469;
86,-4.0588636,10.038197,14.2877445;
87,7.5865335,13.33432,3.8681788;
88,-5.175732,14.1787815,5.5162406;
89,1.1849703,2.1111538,2.2201166;
90,-3.718355,19.463476,-0.8036005;
91,3.173541,6.510526,4.2086873;
92,-1.7297841,-5.6252036,-4.3312707;
93,0.84446156,12.980191,11.563675;
94,2.7649305,17.352324,7.7363577;
95,2.3426998,15.894946,3.6774938;
96,4.7943625,3.8273177,0.9942854;
97,-1.8387469,12.830367,-1.56634;
98,5.366417,14.410328,6.742072;
99,2.1111538,0.27240697,2.6423476;
100,4.2086873,11.454713,7.6273947;
101,-5.134871,9.00305,-3.173541;
102,3.0237172,7.164303,0.08172209;
103,2.070293,3.486809,1.7570249;
104,-3.1054392,4.862464,-0.040861044;
105,-4.399372,19.531578,5.053149;
106,4.7535014,-3.2961242,-2.1383946;
107,-0.6946377,-7.6273947,-7.8180795;
108,-2.8330324,6.5513873,-7.9679036;
109,-0.8036005,10.460427,0.23154591;
110,-3.214402,3.0645783,3.255263;
111,-2.8738933,3.5957718,0.10896278;
112,-4.4810944,19.504337,5.9793324;
113,2.7921712,-1.7570249,0.19068487;
114,-4.7535014,4.2086873,11.141444;
115,-1.56634,3.759216,3.255263;
116,-3.214402,2.9556155,0.7627395;
117,-2.6423476,19.57244,8.008764;
118,0.5720546,-1.4982382,-0.38136974;
119,-1.525479,-7.7363577,-8.580819;
120,-4.7535014,18.537292,-3.1054392;
121,1.7978859,14.410328,1.0760075;
122,-0.8036005,3.255263,3.990762;
123,-1.2258313,3.990762,0.8036005;
124,-4.630918,19.57244,6.3607025;
125,1.9885708,-1.3756552,-0.5720546;
126,-4.630918,1.920469,8.281172;
127,12.299174,17.883516,5.325556;
128,0.9942854,15.241169,5.325556;
129,1.0351465,1.7570249,1.9885708;
130,-9.384419,19.57244,0.10896278;
131,2.9556155,5.597963,4.630918;
132,-2.3699405,-5.366417,-2.7513103;
133,-1.879608,10.882658,-7.7772183;
134,1.1168685,18.496431,3.5957718;
135,5.012288,4.372132,1.334794;
136,-3.336985,16.589584,-4.671779;
137,-6.891896,19.57244,6.238119;
138,3.3778462,-0.6537767,2.3018389;
139,-2.1383946,15.554437,4.372132;
140,5.284695,1.6480621,-0.29964766;
141,-9.425281,18.959524,-4.903325;
142,2.070293,19.57244,8.008764;
143,1.6480621,-2.6014864,-1.4573772;
144,-1.56634,-7.7772183,-9.112013;
145,-6.932757,13.33432,-6.3198414;
146,-4.140586,12.871228,-0.84446156;
147,3.0237172,2.3699405,2.0294318;
148,-1.9885708,5.9793324,0.040861044;
149,2.9556155,19.57244,7.6273947;
150,1.7297841,-5.325556,-2.7513103;
151,-0.42223078,14.1787815,9.888372;
152,3.1463003,17.24336,5.407278;
153,-0.5720546,18.727978,4.671779;
154,5.5162406,3.7864566,1.1849703;
155,-4.3312707,15.6634,-3.445948;
156,5.5571017,14.709975,7.43671;
157,0.50395286,-7.7772183,-8.921328;
158,-4.7126403,6.891896,-11.032481;
159,-1.7297841,8.962189,-2.1111538;
160,-3.214402,3.486809,3.6774938;
161,-2.3018389,0.84446156,1.3075534;
162,-4.7943625,18.428331,-4.9850473;
163,4.0588636,14.628253,9.00305;
164,1.6889231,-0.7218784,1.3075534;
165,2.2609777,15.213928,7.5865335;
166,2.2609777,18.578154,4.630918;
167,5.597963,4.630918,-0.08172209;
168,-2.070293,1.8387469,1.0351465;
169,-5.706926,19.57244,6.4015636;
170,1.6889231,-1.9885708,0.42223078;
171,-3.1463003,0.23154591,5.597963;
172,5.7477865,15.28203,1.0351465;
173,2.4516625,19.340895,5.366417;
174,5.706926,4.2086873,1.56634;
175,-3.5276701,8.049625,-0.61291564;
176,5.284695,16.358038,9.112013;
177,0.08172209,-6.701211,-7.5456724;
178,-6.5513873,17.011814,-4.372132;
179,-0.23154591,15.5135765,0.8036005;
180,-4.5628166,4.0180025,3.0645783;
181,-0.50395286,0.6946377,-0.27240697;
182,-0.50395286,19.57244,7.6954966;
183,0.313268,-2.1792557,-2.1111538;
184,-1.9477097,6.701211,11.686258;
185,7.1234417,16.276316,2.8330324;
186,2.152015,18.727978,4.8216033;
187,-9.00305,5.407278,2.7921712;
188,5.706926,4.7126403,0.6537767;
189,-7.014479,17.270601,-6.3198414;
190,7.9270425,12.830367,7.6273947;
191,-0.0,-6.742072,-8.349273;
192,-3.2961242,2.5606253,9.575105;
193,6.5513873,16.86199,2.2201166;
194,-0.95342433,17.052675,4.4810944;
195,3.2961242,4.2904096,0.08172209;
196,-6.510526,18.115063,-5.8567495;
197,5.9793324,10.501288,7.1234417;
198,-0.5720546,-6.1291566,-9.112013;
199,-5.012288,13.021052,-5.7477865;
200,1.920469,15.785983,1.4165162;
201,2.7921712,3.1463003,1.4165162;
202,-0.95342433,8.008764,-0.42223078;
203,-10.079058,19.57244,-1.7570249;
204,4.372132,5.8567495,5.5162406;
205,-1.3075534,-4.2086873,-7.082581;
206,0.38136974,14.2877445,-3.568531;
207,3.1054392,19.082108,5.012288;
208,2.4516625,4.7943625,1.7978859;
209,-1.2258313,9.656827,-1.56634;
210,3.8273177,18.04696,6.851035;
211,0.08172209,-7.8861814,-8.19945;
212,-1.525479,17.352324,-1.8387469;
213,-1.4573772,14.056199,2.982856;
214,-6.701211,4.5628166,3.1054392;
215,-1.56634,1.2666923,0.88532263;
216,-0.95342433,19.57244,8.349273;
217,-0.9125633,-3.9499009,-2.982856;
218,-2.0294318,11.413852,15.4046135;
219,7.8589406,18.700737,6.0882955;
220,-1.1441092,16.548723,6.742072;
221,4.1814466,3.8681788,-0.14982383;
222,-3.5276701,18.087822,-3.8681788;
223,5.6252036,9.084772,6.6331096;
224,2.2201166,-5.8158884,-10.106298;
225,-9.193735,3.568531,-6.238119;
226,3.173541,15.241169,1.6480621;
227,5.284695,3.405087,1.2258313;
228,1.4573772,10.501288,-1.4165162;
229,3.5276701,19.19107,4.903325;
230,1.7297841,-10.61025,-11.536434;
231,-6.5922484,14.410328,-8.812365;
232,-8.880466,5.9793324,4.2904096;
233,-2.7240696,3.405087,2.2201166;
234,-8.689782,19.57244,8.349273;
235,4.944186,8.62168,5.7886477;
236,-1.1168685,-6.0474343,-9.888372;
237,-1.6480621,14.519291,1.7978859;
238,-2.5606253,8.771504,-1.334794;
239,-13.565866,5.5162406,4.2086873;
240,-0.88532263,2.9556155,0.61291564;
241,-4.5900574,19.57244,8.539958;
242,1.334794,-3.173541,-2.7921712;
243,0.08172209,15.854085,12.067628;
244,-2.4925237,10.61025,-0.7218784;
245,-12.762266,7.205164,4.4810944;
246,-0.5720546,2.7649305,1.0351465;
247,-6.3198414,19.57244,9.575105;
248,0.5720546,-3.3642259,-0.5720546;
249,0.50395286,15.826844,15.745122;
250,-2.9147544,6.0201936,-2.982856;
251,-11.985906,5.938472,4.140586;
252,-0.14982383,4.0588636,-0.14982383;
253,-1.7297841,19.57244,4.7943625;
254,1.9885708,-6.3607025,-6.0474343;
255,-1.56634,-1.607201,-0.040861044;
256,-4.7943625,19.15021,1.4982382;
257,2.982856,16.86199,1.920469;
258,-6.3198414,5.5571017,3.486809;
259,-0.7627395,2.3699405,0.313268;
260,-2.6832085,18.700737,7.9270425;
261,1.1441092,-5.8567495,-4.2904096;
262,-2.6014864,18.196785,4.0180025;
263,7.8861814,-2.2201166,-0.8036005;
264,4.2086873,0.7627395,1.920469;
265,-0.61291564,6.4015636,-0.61291564;
266,0.42223078,-6.8237944,-10.460427;
267,-8.049625,9.697687,-2.8738933;
268,4.9850473,19.313654,1.6480621;
269,1.7978859,4.0588636,2.9556155;
270,4.140586,0.7627395,2.1792557;
271,-0.10896278,7.7363577,-1.0351465;
272,0.92618364,-0.23154591,2.8330324;
273,-6.0474343,9.956474,15.826844;
274,0.88532263,0.61291564,-4.862464;
275,-4.3312707,7.164303,-0.10896278;
276,-8.580819,7.3549876,4.2904096;
277,0.46309182,2.6832085,1.6480621;
278,-5.012288,19.422615,8.580819;
279,-0.3405087,-5.243834,-3.445948;
280,1.1441092,16.507862,11.645397;
281,-1.1441092,4.6036777,-3.5957718;
282,-10.923519,8.308413,3.5957718;
283,0.84446156,2.6014864,1.7570249;
284,-5.325556,18.891422,7.9270425;
285,1.3075534,-0.10896278,2.7649305;
286,-4.5219555,8.580819,12.789507;
287,-6.973618,17.66559,-4.5628166;
288,-1.334794,12.789507,-0.46309182;
289,-0.38136974,12.067628,0.14982383;
290,-4.8216033,19.15021,8.812365;
291,0.5720546,-2.3426998,-0.27240697;
292,-4.440233,11.304889,15.4046135;
293,-0.38136974,3.1463003,-3.7864566;
294,-13.593107,9.112013,4.0180025;
295,1.2666923,0.8036005,2.3018389;
296,-12.912089,19.463476,3.3778462;
297,2.5606253,3.636633,3.9090397;
298,-4.099725,0.53119355,3.7864566;
299,11.073342,6.1291566,-1.9477097;
300,-3.8681788,11.413852,5.2165933;
301,7.0553403,2.3018389,0.84446156;
302,-8.730643,19.531578,0.38136974;
303,3.0645783,6.5922484,6.66035;
304,-1.607201,-4.399372,-5.09401;
305,4.2086873,-2.1383946,0.38136974;
306,-2.6014864,10.038197,5.8567495;
307,4.440233,18.959524,3.0645783;
308,2.3699405,0.53119355,2.6014864;
309,-2.7513103,-1.56634,2.070293;
310,4.9850473,-8.921328,-4.5219555;
311,1.7978859,15.704261,1.9477097;
312,-11.9450445,7.9270425,3.486809;
313,0.46309182,2.5606253,0.9942854;
314,-3.5276701,18.578154,6.742072;
315,0.8036005,-4.399372,-3.718355;
316,-4.1814466,18.46919,9.915613;
317,1.9477097,9.915613,-3.0645783;
318,-12.53072,8.853226,3.568531;
319,7.1234417,3.8681788,-0.23154591;
320,2.7921712,-9.043911,-10.923519;
321,-5.434519,17.965239,-7.273266;
322,1.334794,-3.486809,-2.070293;
323,-6.973618,6.0474343,3.445948;
324,5.325556,2.8330324,0.6946377;
325,-9.724928,19.57244,-2.4108016;
326,3.214402,4.099725,4.8216033;
327,-2.1111538,-0.5720546,1.56634;
328,9.112013,0.88532263,-1.879608;
329,-0.14982383,8.689782,3.759216;
330,5.6660647,2.7649305,0.6946377;
331,-8.158588,19.57244,-1.607201;
332,3.9499009,5.325556,3.6774938;
333,-0.10896278,-4.7126403,-5.243834;
334,10.419566,7.164303,-2.1792557;
335,-5.325556,9.234595,6.6331096;
336,7.273266,2.6014864,1.4165162;
337,-7.43671,19.57244,-1.607201;
338,3.9499009,18.537292,5.7477865;
339,3.3778462,-7.246025,-5.7886477;
340,-8.880466,19.531578,3.173541;
341,1.607201,16.358038,1.1849703;
342,1.9885708,9.112013,5.5162406;
343,5.9793324,3.718355,0.88532263;
344,1.5390993,1.7570249,1.920469;
345,-6.891896,19.57244,8.921328;
346,0.42223078,-2.4925237,0.23154591;
347,-2.3426998,14.941522,14.206022;
348,-6.0201936,9.043911,-0.7627395;
349,-10.991621,7.668256,4.5628166;
350,1.56634,0.95342433,1.879608;
351,-9.152874,19.57244,7.6273947;
352,0.38136974,0.0,2.3426998;
353,-4.671779,7.164303,11.536434;
354,9.152874,5.09401,-0.10896278;
355,-8.471856,9.043911,4.7126403;
356,2.8738933,2.0294318,1.7570249;
357,-10.106298,19.57244,2.152015;
358,4.1814466,4.2086873,5.2165933;
359,-5.284695,0.313268,1.4165162;
360,11.114203,9.724928,1.334794;
361,-1.4165162,12.258313,5.134871;
362,8.771504,4.0588636,0.23154591;
363,-1.334794,14.941522,-3.8273177;
364,8.430995,10.269742,5.134871;
365,-0.84446156,-6.0201936,-11.645397;
366,0.6537767,5.7477865,-2.8738933;
367,9.234595,15.472715,6.66035;
368,3.7864566,5.407278,1.4573772;
369,0.53119355,11.34575,-0.84446156;
370,7.7772183,15.050485,6.8237944;
371,-0.14982383,-7.7772183,-14.437569;
372,-6.2108784,16.507862,-8.117727;
373,8.662541,19.531578,5.053149;
374,0.08172209,5.243834,3.568531;
375,-0.84446156,4.862464,-0.7218784;
376,-0.3405087,-5.325556,-10.106298;
377,-3.486809,8.281172,-2.1111538;
378,9.575105,15.6634,7.6954966;
379,3.568531,4.0588636,1.1849703;
380,-0.6946377,2.8738933,3.173541;
381,-10.378705,19.57244,2.4516625;
382,2.4516625,0.19068487,4.6036777;
383,-5.6660647,6.8237944,8.771504;
384,4.8216033,0.6537767,-2.982856;
385,-5.09401,8.539958,4.8216033;
386,8.430995,2.5606253,-1.0760075;
387,-8.662541,19.531578,-0.0;
388,3.445948,3.1054392,5.325556;
389,-2.2609777,-1.56634,-4.3312707;
390,4.2086873,-5.175732,-3.636633;
391,7.273266,18.087822,5.7477865;
392,0.38136974,4.5628166,3.0645783;
393,-1.1441092,8.812365,-0.14982383;
394,6.4424243,15.363752,6.851035;
395,0.14982383,-9.084772,-12.830367;
396,-6.782933,15.050485,-5.6660647;
397,6.782933,19.531578,3.9499009;
398,-6.782933,9.425281,2.982856;
399,6.2789803,3.486809,-0.08172209;
400,-2.1383946,3.7864566,-0.46309182;
401,-2.5333846,19.57244,6.742072;
402,0.5720546,-6.742072,-4.5219555;
403,-7.6546354,19.313654,4.944186;
404,5.7477865,18.8097,3.0645783;
405,-10.038197,8.662541,1.56634;
406,0.313268,2.3699405,2.4516625;
407,-7.6273947,19.57244,10.378705;
408,-1.56634,-2.6832085,0.53119355;
409,-3.1463003,13.865514,15.595298;
410,4.903325,8.240311,-1.525479;
411,-11.073342,8.730643,2.8330324;
412,-2.070293,2.6423476,0.9942854;
413,-5.09401,19.57244,10.651112;
414,0.9942854,-2.5333846,0.040861044;
415,-0.95342433,8.580819,11.223166;
416,1.0351465,-1.1168685,-2.4108016;
417,-3.1463003,9.00305,3.405087;
418,7.205164,1.3075534,-1.4165162;
419,0.3405087,2.3699405,-0.08172209;
420,-3.718355,19.57244,7.9679036;
421,-0.38136974,-5.5571017,-3.568531;
422,-5.47538,16.208214,7.014479;
423,2.1111538,14.519291,0.10896278;
424,-8.962189,6.851035,2.7921712;
425,-1.0351465,2.070293,2.6014864;
426,-11.032481,19.57244,8.812365;
427,1.0351465,-0.46309182,2.2201166;
428,-6.0201936,9.275456,4.5219555;
429,-1.3075534,3.214402,2.7649305;
430,1.2258313,3.759216,-1.3075534;
431,0.92618364,19.531578,7.246025;
432,1.4165162,-6.891896,-8.158588;
433,-4.1814466,18.0061,4.7126403;
434,2.070293,14.669114,0.61291564;
435,-8.158588,9.80665,3.7864566;
436,0.10896278,1.1441092,3.173541;
437,3.445948,10.269742,-1.6889231;
438,5.9793324,18.659876,5.8976107;
439,0.38136974,-8.076866,-8.076866;
440,-4.372132,19.57244,-0.5720546;
441,6.3198414,19.231932,3.7864566;
442,-2.5333846,6.0882955,3.0237172;
443,0.50395286,2.6014864,-1.334794;
444,-1.6480621,19.57244,7.4639506;
445,-4.2495484,10.651112,15.132206;
446,5.5571017,2.152015,-1.2258313;
447,-10.337844,9.425281,4.372132;
448,5.829509,1.6889231,1.3756552;
449,7.43671,17.311462,5.7886477;
450,0.313268,0.61291564,3.255263;
451,-6.851035,17.311462,-6.0201936;
452,10.800936,19.531578,4.0588636;
453,-3.1054392,4.8216033,2.3426998;
454,0.08172209,0.38136974,0.7218784;
455,-6.1291566,19.57244,10.923519;
456,-1.4165162,-1.7570249,0.040861044;
457,-2.8330324,11.686258,16.167353;
458,1.9885708,-0.50395286,-3.718355;
459,-12.871228,8.008764,3.6774938;
460,1.0351465,0.9942854,3.336985;
461,-14.246883,19.57244,5.938472;
462,-0.7218784,-0.46309182,2.9556155;
463,-5.175732,7.8589406,12.53072;
464,3.568531,-4.3312707,-3.1463003;
465,-11.304889,8.076866,4.0588636;
466,2.4108016,1.7297841,0.3405087;
467,-7.164303,19.531578,-2.9556155;
468,7.6954966,10.18802,5.284695;
469,1.8387469,-7.1234417,-12.912089;
470,-3.636633,13.021052,-8.921328;
471,6.851035,18.305748,6.782933;
472,1.2666923,4.2086873,2.152015;
473,2.8738933,0.10896278,2.3426998;
474,-0.42223078,-8.308413,-13.211738;
475,-2.6014864,7.0553403,10.61025;
476,1.7297841,17.052675,5.8567495;
477,0.61291564,5.6252036,-2.4516625;
478,-7.3958488,4.944186,5.09401;
479,-1.1441092,0.61291564,2.8738933;
480,-11.182305,19.504337,9.765789;
481,-1.1168685,-0.5720546,2.6832085;
482,-8.049625,2.7240696,3.1463003;
483,8.281172,13.988097,1.7297841;
484,4.9850473,14.015338,6.891896;
485,3.636633,3.3778462,1.1168685;
486,-2.4925237,15.554437,-0.38136974;
487,4.7535014,8.19945,5.5162406;
488,1.0351465,-5.202973,-8.049625;
489,-2.2201166,12.871228,-2.4108016;
490,10.269742,19.340895,3.445948;
491,-0.7218784,6.0201936,4.399372;
492,-2.3018389,5.9793324,-1.334794;
493,-2.1111538,19.57244,5.6660647;
494,-0.27240697,-6.0882955,-3.5957718;
495,-3.5957718,13.797412,15.6634;
496,3.405087,3.1054392,-3.9499009;
497,5.8567495,19.57244,6.4015636;
498,-2.3426998,5.2165933,3.636633;
499,0.7218784,6.2789803,-0.8036005;
500,2.7921712,16.780268,6.2108784;
501,1.607201,-8.812365,-10.419566;
502,-9.534244,17.62473,-4.5900574;
503,11.75436,0.27240697,-1.3075534;
504,0.50395286,1.7570249,3.5276701;
505,-14.015338,19.57244,5.434519;
506,1.8387469,1.334794,4.8216033;
507,-4.372132,4.0588636,6.510526;
508,-7.504812,18.959524,-3.5276701;
509,2.2201166,14.982383,-3.759216;
510,7.8180795,15.322891,4.7126403;
511,-0.29964766,-0.6537767,2.9147544;
512,-4.3312707,6.5513873,7.9270425;
513,5.134871,0.19068487,-4.7943625;
514,-3.9090397,7.7772183,4.5219555;
515,8.471856,3.255263,0.313268;
516,-4.140586,18.278507,-3.718355;
517,6.782933,8.853226,5.2165933;
518,1.334794,-7.5456724,-12.598822;
519,-5.134871,13.906375,-6.0882955;
520,7.8589406,19.504337,4.7943625;
521,2.7240696,4.2495484,1.5390993;
522,-0.7218784,6.3198414,-0.50395286;
523,-11.3321295,19.504337,7.0553403;
524,0.9942854,-1.1849703,2.6423476;
525,-5.8976107,8.308413,10.841797;
526,6.891896,6.0882955,0.3405087;
527,-2.3699405,9.615966,4.7535014;
528,4.1814466,3.568531,0.6537767;
529,-5.434519,19.57244,-1.9885708;
530,6.469665,3.3778462,4.2495484;
531,-1.1441092,-4.5219555,-10.337844;
532,-5.325556,19.381754,-4.3312707;
533,6.6331096,-5.9793324,-3.1054392;
534,-0.5720546,7.9270425,3.405087;
535,6.6331096,2.8330324,-1.3075534;
536,-2.9556155,18.578154,-3.9499009;
537,7.6273947,6.6331096,5.09401;
538,0.08172209,-6.782933,-7.7772183;
539,-4.140586,14.818938,0.6537767;
540,0.27240697,15.4046135,2.8738933;
541,-11.141444,6.973618,2.8330324;
542,0.8036005,2.7649305,-0.84446156;
543,-2.4925237,19.231932,7.7772183;
544,-0.50395286,-4.9850473,-1.3756552;
545,-3.5276701,16.657684,12.026767;
546,-0.19068487,13.021052,0.08172209;
547,-11.876944,7.5456724,3.214402;
548,-0.7218784,2.7921712,1.607201;
549,-3.1463003,19.272793,9.152874;
550,-1.0760075,-5.012288,-3.445948;
551,-5.5162406,17.965239,7.0553403;
552,2.7649305,17.856276,0.9942854;
553,-9.724928,7.246025,2.8330324;
554,0.38136974,1.1441092,1.1441092;
555,-5.6660647,19.422615,9.575105;
556,0.08172209,-5.325556,-2.8738933;
557,-4.2086873,15.976667,8.62168;
558,10.079058,5.706926,3.3778462;
559,0.7627395,12.639683,6.4424243;
560,-3.6774938,6.0201936,4.440233;
561,-2.6423476,0.88532263,-0.7218784;
562,-6.0882955,18.8097,7.7363577;
563,-0.53119355,-6.428804,-5.434519;
564,-2.982856,15.023244,1.6480621;
565,0.8036005,14.669114,-0.23154591;
566,-10.460427,8.771504,2.3426998;
567,-1.0351465,2.4925237,2.9556155;
568,-12.789507,19.313654,10.691973;
569,1.1441092,-3.214402,1.7297841;
570,-6.6331096,11.182305,15.023244;
571,2.5606253,8.117727,0.08172209;
572,-9.724928,8.812365,4.7535014;
573,1.3756552,2.5333846,3.5276701;
574,-13.0619135,19.531578,6.0882955;
575,2.7921712,-0.95342433,3.5276701;
576,2.7649305,3.3778462,2.4925237;
577,-1.7570249,2.2609777,-0.42223078;
578,-9.724928,19.381754,9.152874;
579,-0.0,-3.214402,1.334794;
580,-2.7513103,9.615966,12.4489975;
581,-11.795221,12.721405,-6.428804;
582,2.0294318,17.474907,0.95342433;
583,-10.460427,5.2165933,3.214402;
584,0.23154591,1.3075534,1.4573772;
585,-8.62168,19.57244,11.563675;
586,-0.53119355,0.46309182,1.5390993;
587,-4.0588636,12.299174,15.595298;
588,-0.53119355,3.214402,-3.173541;
589,-9.112013,8.539958,3.759216;
590,6.973618,2.070293,0.27240697;
591,1.3075534,3.173541,-0.61291564;
592,-1.1168685,2.6423476,8.076866;
593,-0.9942854,3.0237172,8.308413;
594,-1.0760075,3.445948,8.049625;
595,-1.0760075,5.2165933,6.891896;
5560,-0.7627395,9.00305,2.6832085;
5561,-0.19068487,9.193735,3.5957718;
5562,0.7218784,8.853226,4.440233;
5563,1.4982382,8.076866,4.399372;
5564,0.27240697,6.742072,5.053149;
5565,0.23154591,6.0201936,4.671779;
5566,-1.56634,12.408136,1.5390993;
5567,-0.42223078,9.234595,3.255263;
5568,5.7886477,16.276316,4.630918;
5569,2.1792557,15.241169,5.434519;
5570,-0.27240697,2.6832085,1.4573772;
5571,-2.070293,17.352324,-0.42223078;
5572,2.1111538,19.57244,8.158588;
5573,0.5720546,-2.7921712,-2.4108016;
5574,0.08172209,9.425281,5.9793324;
5575,3.9090397,15.6634,0.9942854;
5576,0.84446156,17.502148,7.504812;
5577,1.1441092,3.9499009,3.5276701;
5578,1.7570249,0.7627395,0.92618364;
5579,-3.5276701,18.918663,-1.4165162;
5580,3.0645783,11.372991,6.0201936;
5581,-1.7297841,-7.082581,-9.152874;
5582,-2.6014864,4.944186,4.7943625;
5583,-3.8681788,9.765789,-5.243834;
5584,4.372132,17.393185,2.7649305;
5585,-2.1383946,7.082581,3.759216;
5586,0.8036005,2.3018389,1.3756552;
5587,-3.8681788,19.57244,5.6660647;
5588,0.7218784,3.2961242,3.0645783;
5589,-1.4982382,-9.534244,-11.454713;
5590,-1.9885708,3.718355,4.1814466;
5591,-0.61291564,8.771504,-6.2789803;
5592,9.084772,19.313654,7.014479;
5593,5.366417,3.759216,2.8330324;
5594,-1.9885708,16.630445,-3.7864566;
5595,-2.4925237,19.57244,6.510526;
5596,1.56634,-2.3018389,-1.3756552;
5597,-4.7943625,-3.8273177,-7.3549876;
5598,-5.366417,13.443283,-7.4639506;
5599,11.563675,19.313654,6.5922484;
5600,0.040861044,4.630918,4.4810944;
5601,3.5276701,2.6014864,1.1168685;
5602,-2.7513103,16.589584,-3.3642259;
5603,6.0474343,15.050485,4.140586;
5604,-2.8738933,-8.921328,-11.114203;
5605,1.7297841,13.525005,10.95076;
5606,-10.882658,11.958665,-6.782933;
5607,5.8976107,19.531578,4.862464;
5608,-1.1441092,5.243834,4.7535014;
5609,3.1463003,2.6014864,1.9885708;
5610,-3.255263,18.578154,-3.5276701;
5611,5.8567495,8.240311,4.1814466;
5612,-3.405087,-3.759216,-6.469665;
5613,-7.9679036,11.686258,-4.0180025;
5614,12.067628,17.856276,6.932757;
5615,-6.2108784,10.841797,2.7240696;
5616,6.3607025,1.7570249,1.879608;
5617,2.4925237,3.8273177,1.7978859;
5618,-2.8330324,1.6480621,1.0760075;
5619,0.6946377,18.768839,1.7978859;
5620,-3.173541,-1.8387469,-6.2789803;
5621,-4.9850473,-6.782933,-10.106298;
5622,2.4108016,11.836082,13.443283;
5623,-8.158588,6.701211,-8.812365;
5624,5.366417,1.3756552,1.9885708;
5625,-1.56634,5.5162406,-1.6480621;
5626,-6.66035,19.57244,-2.1383946;
5627,5.407278,18.727978,6.1700177;
5628,1.3075534,9.302697,-3.255263;
5629,2.9147544,18.34661,0.14982383;
5630,-5.053149,14.056199,4.2086873;
5631,3.5957718,19.381754,5.325556;
5632,2.2201166,-8.076866,-8.730643;
5633,5.09401,16.317177,9.234595;
5634,5.053149,13.756551,-1.525479;
5635,6.3607025,15.826844,6.2108784;
5636,-8.580819,13.375181,3.636633;
